,prior_participation_open_house,prior_participation_instant_decision_day,prior_participation_on_campus_info_session,prior_participation_virtual_info_session,prior_participation_women_who_dare,prior_participation_regional_college_fair,prior_participation_hs_sharetime_info_session,prior_participation_challenger_program,prior_participation_cybersec_program,prior_participation_hs_info_session,prior_participation_hs_campus_visit,prior_participation_individual_campus_visit,prior_participation_workforce_development_class,prior_participation_corporate_training,prior_participation_teen_arts_fest,prior_participation_CCM_summer_camp,current_degree,motivation_computing_job,motivation_transfer_bachelors,motivation_hs_dual_enrollment,motivation_career_advancement,motivation_career_change,motivation_profession_development,motivation_job_displacement,motivation_relocation,motivation_keep_current_in_tech,motivation_IT_certification,motivation_financial,motivation_personal_enrichment,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_workforce_development,info_source_NJ_workforce_development,info_source_other
120,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Don't recall,No,Yes,No,Yes,No,No,No,No
121,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
123,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
124,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
125,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
127,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Digital Media Technology,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes
128,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
129,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
132,Not Sure,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,CIS Game Development Option,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
133,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Web Development Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
134,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
136,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
137,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Digital Media Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
138,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Digital Media Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
143,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
147,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Challenger Program,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
148,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes
149,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
151,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
152,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Don't recall
153,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
154,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
155,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,CIS Game Development Option,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Don't recall,Don't recall,Yes,Yes,Yes,No,Don't recall,No,Don't recall
156,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Don't recall
157,Yes,No,Not Sure,No,No,No,No,No,No,Not Sure,Yes,Not Sure,No,No,No,No,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Don't recall,Don't recall,Don't recall,Yes,Don't recall,No,No,No,Don't recall
159,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
162,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
163,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
165,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
166,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Challenger Program,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
168,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
169,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes
170,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
171,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
172,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
174,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Data Analytics Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
175,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
176,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Digital Media Technology,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
177,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No
178,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
180,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
183,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Don't recall,Don't recall,No,No,No,No
184,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
186,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No
187,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
189,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Computer Science,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
190,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No
191,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
192,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,CIS Game Development Option,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
195,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
196,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No
197,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
200,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
201,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
202,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
203,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No
206,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,ShareTime CSIP Program,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
207,No,No,No,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
208,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
209,Not Sure,Not Sure,Yes,Yes,Not Sure,Not Sure,Yes,Yes,Not Sure,Yes,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
210,No,No,Not Sure,No,No,No,No,No,No,Not Sure,No,Yes,No,No,No,No,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Don't recall,No,No,No,No,No
211,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
212,Not Sure,No,Not Sure,Not Sure,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Don't recall,Yes,No,No,No,No,No,Don't recall
213,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
214,Not Sure,No,Yes,Yes,No,No,Yes,No,Not Sure,Not Sure,Not Sure,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Don't recall,No,Yes,No,No,No,No
215,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
216,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
217,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes
218,No,No,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
219,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
220,Not Sure,No,Not Sure,No,No,No,Yes,No,Not Sure,No,No,No,No,No,No,No,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
221,No,No,Yes,Not Sure,No,No,Not Sure,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
222,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Don't recall,No,No,No,No,No,No
224,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
225,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
227,No,No,No,No,No,No,No,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,No,No,Information Technology,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes
228,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
229,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall
230,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
231,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
232,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No
233,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
235,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
236,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
237,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
238,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't recall
239,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
240,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
241,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes
242,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes
243,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
244,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
